,HorseNameCHI,date,raceid,location_id,distance,DG,Act_RS,wlast,first,firsttwo,firstthree
2387,加州議長,2018-04-15,575,0,1.2,MiddleOuter,MiddleFront,2.0,0,0,0
2388,加州議長,2018-03-28,533,1,1.2,Inner,MiddleFront,3.0,1,1,1
2389,加州議長,2018-03-07,477,1,1.2,Inner,MiddleFront,2.0,0,1,1
2390,加州議長,2018-02-21,443,1,1.2,MiddleOuter,MiddleLate,3.0,0,0,1
2413,赤兔寶駒,2018-12-09,244,0,1.2,MiddleOuter,Late,3.0,0,0,0
2414,赤兔寶駒,2018-11-18,189,0,1.2,Inner,MiddleLate,1.0,0,1,1
2415,赤兔寶駒,2018-09-12,36,1,1.65,MiddleOuter,Pace,1.0,0,0,0
2416,赤兔寶駒,2018-07-04,777,1,1.65,MiddleOuter,MiddleFront,1.0,1,1,1
2417,赤兔寶駒,2018-06-24,751,0,1.4,MiddleInner,MiddleFront,2.0,0,0,0
2419,赤兔寶駒,2018-03-18,507,0,1.4,Outer,MiddleLate,3.0,0,0,0
2420,赤兔寶駒,2018-03-03,472,0,1.8,MiddleInner,Late,1.0,0,0,0
2421,赤兔寶駒,2018-02-21,439,1,1.65,MiddleInner,Late,1.0,0,0,0
2422,赤兔寶駒,2018-02-04,397,0,1.4,MiddleInner,Late,6.0,0,0,0
2499,牛精輝煌,2018-10-01,56,0,1.8,Outer,MiddleFront,4.0,0,0,0
2500,牛精輝煌,2018-07-15,799,0,1.8,MiddleInner,MiddleFront,2.0,0,0,0
2501,牛精輝煌,2018-06-24,742,0,2.0,Inner,MiddleLate,2.0,0,0,0
2502,牛精輝煌,2018-06-10,718,0,1.8,Inner,Late,1.0,0,0,0
2503,牛精輝煌,2018-05-20,658,0,2.2,Inner,MiddleFront,4.0,0,1,1
2504,牛精輝煌,2018-04-29,603,0,1.8,Inner,MiddleFront,2.0,0,0,1
2505,牛精輝煌,2018-04-08,550,0,1.8,Outer,Late,7.0,0,0,0
2506,牛精輝煌,2018-03-18,505,0,2.0,Outer,Late,1.0,0,0,0
2528,紅海威,2018-12-23,276,0,1.4,Outer,MiddleLate,2.0,0,0,0
2529,紅海威,2018-10-07,78,0,1.6,Inner,MiddleLate,3.0,0,0,0
2530,紅海威,2018-07-01,769,0,1.4,MiddleOuter,Late,1.0,0,0,0
2531,紅海威,2018-06-03,700,0,1.6,MiddleInner,MiddleFront,3.0,0,0,0
2532,紅海威,2018-05-09,637,1,1.65,Inner,MiddleLate,2.0,0,0,0
2533,紅海威,2018-04-02,547,0,1.4,Inner,MiddleLate,1.0,0,0,0
2534,紅海威,2018-02-25,457,0,1.6,Outer,Pace,3.0,0,0,0
2535,紅海威,2018-01-28,382,0,1.6,Outer,MiddleFront,2.0,0,0,0
2536,紅海威,2018-01-01,315,0,1.4,Inner,MiddleFront,1.0,0,0,0
2570,善傳千里,2018-12-26,286,1,1.0,Inner,MiddleLate,1.0,0,0,0
2571,善傳千里,2018-11-28,214,1,1.2,Inner,MiddleFront,1.0,0,0,0
